"unique_id__c","NAME","GFSC__FIELD_VALUE__C","GFSC__GUIDANCE_TITLE__r.unique_id__c","GFSC__GUIDANCE_CONTENT__C","GFSC__GUIDANCE_FOR_SUCCESS__C","GFSC__REFRESH_VISIBILITY__C","GFSC__VERSION__C"
"BE_KitVisit_GS_Item01","Visit - Status Planning","01","Como agendar una visita correctamente","<ol><li><span style=""color: rgb(23, 43, 77); font-size: 14px;"">Agrega uno o varios temas, los cuales pueden estar relacionados a una oportunidad.</span></li><li><span style=""color: rgb(23, 43, 77); font-size: 14px;"">Agrega un contacto del cliente desde la sección &quot;Participantes&quot;.</span></li><li><span style=""color: rgb(23, 43, 77); font-size: 14px;"">En caso vayas a la visita con otros acompañantes del BBVA, agrégalos desde la sección &quot;Participantes&quot;.</span></li></ol>","BE_KitVisit_GS","false","0.0"
"BE_KitVisit_GS_Item02","Visit - Status Arranged","02","Como finalizar una visita correctamente","<p><span style="""">Una vez concluida la visita debes:</span></p><ol><li>Marcar por lo menos un tema como cerrado.</li><li>Agrega una nota con el resumen de la visita.</li><li>Completa la visita a través del botón &quot;Finalizar la visita&quot;.</li></ol><p>Adicionalmente puedes:</p><ul><li>Agregar un compromiso (llamada, cotización, envío de correo, u otros), y asignarlo a alguien más.</li><li>Adjuntar un archivo</li><li>Generar una minuta, enviarla al cliente y a otros participantes.</li></ul>","BE_KitVisit_GS","false","0.0"
"BE_KitVisit_GS_Item03","Visit - Status Arranged Pending Updates","03","Como actualizar una visita","<p><span style="""">Una visita se deberá actualizar si la fecha u hora de la visita ha cambiado</span></p><ol><li>Se podrá re agendar a través del botón “Crear/actualizar visita”</li></ol>","BE_KitVisit_GS","false","0.0"
"BE_KitVisit_GS_Item04","Visit - Status Visit Completed - Minute Sent","05","Como finalizar una visita","<p>Una vez concluida tu visita finalízala a través del botón “Finalizar visita”.</p><p>Asegúrate de haber cerrado al menos un tema y haber completado las notas de la visita, caso contrario no podrás finalizarla.</p>","BE_KitVisit_GS","false","0.0"
