CURRENCYISOCODE,DWP_DACE__RULES_SET_DESC__C,DWP_DACE__RULES_SET_UNIQUE_ID__C
PEN,Product flow,PRODUCT_FORM_RULE_SET_02
PEN,Opportunity flow,BUTTON_COLLECTION_RULE_SET_01
PEN,Case Flow,CASE_BUTTON_COLLECTION_RULE_SET_01
