"PRICEBOOK2.UNIQUE_ID__C","PRODUCT2.UNIQUE_ID__C","CURRENCYISOCODE","UNITPRICE","ISACTIVE","USESTANDARDPRICE","UNIQUE_ID__C"
"LP0001","0160010","PEN","0.0","true","false","LP0001_0160010_PEN"
"LP0001","PC00009","PEN","0.0","true","false","LP0001_PC00009_PEN"
"LP0001","0240011","PEN","0.0","true","false","LP0001_0240011_PEN"
"LP0001","21","PEN","0.0","true","false","LP0001_21_PEN"
"LP0001","0161720","PEN","0.0","true","false","LP0001_0161720_PEN"
"LP0001","0161710","PEN","0.0","true","false","LP0001_0161710_PEN"
"LP0001","0159501","PEN","0.0","true","false","LP0001_0159501_PEN"
"LP0001","0292235","PEN","0.0","true","false","LP0001_0292235_PEN"
"LP0001","0292230","PEN","0.0","true","false","LP0001_0292230_PEN"
"LP0001","0159601","PEN","0.0","true","false","LP0001_0159601_PEN"
"LP0001","08","PEN","0.0","true","false","LP0001_08_PEN"
"LP0001","09","PEN","0.0","true","false","LP0001_09_PEN"
"LP0001","PC00042","PEN","0.0","true","false","LP0001_PC00042_PEN"
"LP0001","PC00041","PEN","0.0","true","false","LP0001_PC00041_PEN"
"LP0001","PC00040","PEN","0.0","true","false","LP0001_PC00040_PEN"
"LP0001","0160010","USD","0.0","true","false","LP0001_0160010_USD"
"LP0001","PC00009","USD","0.0","true","false","LP0001_PC00009_USD"
"LP0001","0240011","USD","0.0","true","false","LP0001_0240011_USD"
"LP0001","0161720","USD","0.0","true","false","LP0001_0161720_USD"
"LP0001","0161710","USD","0.0","true","false","LP0001_0161710_USD"
"LP0001","0159501","USD","0.0","true","false","LP0001_0159501_USD"
"LP0001","0292235","USD","0.0","true","false","LP0001_0292235_USD"
"LP0001","0292230","USD","0.0","true","false","LP0001_0292230_USD"
"LP0001","0159601","USD","0.0","true","false","LP0001_0159601_USD"
"LP0001","08","USD","0.0","true","false","LP0001_08_USD"
"LP0001","PC00042","USD","0.0","true","false","LP0001_PC00042_USD"
"LP0001","PC00041","USD","0.0","true","false","LP0001_PC00041_USD"
"LP0001","PC00040","USD","0.0","true","false","LP0001_PC00040_USD"
"LP0001","0160010_NEW","PEN","0.0","true","false","LP0001_0160010_PEN_V1_DEPRECATED"
"LP0001","0160010_NEW","USD","0.0","true","false","LP0001_0160010_USD_V1_DEPRECATED"
"LP0001","PC00009_V1_DEPRECATED","PEN","0.0","true","false","LP0001_PC00009_PEN_V1_DEPRECATED"
"LP0001","PC00009_V1_DEPRECATED","USD","0.0","true","false","LP0001_PC00009_USD_V1_DEPRECATED"
"LP0001","0159601_V1_DEPRECATED","PEN","0.0","true","false","LP0001_0159601_PEN_V1_DEPRECATED"
"LP0001","0159601_V1_DEPRECATED","USD","0.0","true","false","LP0001_0159601_USD_V1_DEPRECATED"
"LP0001","0292235_V1_DEPRECATED","PEN","0.0","true","false","LP0001_0292235_PEN_V1_DEPRECATED"
"LP0001","0292235_V1_DEPRECATED","USD","0.0","true","false","LP0001_0292235_USD_V1_DEPRECATED"
"LP0001","0292230_V1_DEPRECATED","PEN","0.0","true","false","LP0001_0292230_PEN_V1_DEPRECATED"
"LP0001","0292230_V1_DEPRECATED","USD","0.0","true","false","LP0001_0292230_USD_V1_DEPRECATED"
