Currency ISO Code,Name,Product Code
PEN,Carta fianza tecnica Cotiza,PC00011
PEN,Letras,PC00005
PEN,Carta fianza economica Cotiza,PC00012
PEN,Prestamo comercial Cotiza,PC00001
PEN,Prestamo Comercial Cotiza,PC00009
PEN,Prestamo comercial Prueba (Nousar),PC00001_Depre
