"ID","ISDELETED","NAME","CURRENCYISOCODE","SETUPOWNERID","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","MODALIDAD_PRODUCTO__C","MODALITY_SELECT__C","PRODUCT_NAME__C"
"a0j29000000eYlgAAE","false","Modalidad5_PC00001","PEN","00D290000008p7zEAA","2018-06-19T21:23:01.000Z","00529000001f2JMAAY","2018-06-20T06:17:02.000Z","00529000001f2JMAAY","2018-06-20T06:17:02.000Z","Reprogramado","Requires authorization","PC00001"
"a0j29000000eYlbAAE","false","Modalidad4_PC00001","PEN","00D290000008p7zEAA","2018-06-19T21:22:40.000Z","00529000001f2JMAAY","2018-06-20T06:16:52.000Z","00529000001f2JMAAY","2018-06-20T06:16:52.000Z","Compra de deuda","Requires authorization","PC00001"
"a0j29000000eYkxAAE","false","Modalidad1_PC00001","PEN","00D290000008p7zEAA","2018-06-19T21:14:15.000Z","00529000001f2JMAAY","2018-06-20T18:40:34.000Z","00529000001f2JMAAY","2018-06-20T18:40:34.000Z","Regular","Inside line","PC00001"
"a0j29000000eYlWAAU","false","Modalidad3_PC00001","PEN","00D290000008p7zEAA","2018-06-19T21:22:16.000Z","00529000001f2JMAAY","2018-06-20T06:16:42.000Z","00529000001f2JMAAY","2018-06-20T06:16:42.000Z","Crédito puntual","Requires authorization","PC00001"
"a0j29000000eYl7AAE","false","Modalidad2_PC00001","PEN","00D290000008p7zEAA","2018-06-19T21:16:22.000Z","00529000001f2JMAAY","2018-06-20T06:16:17.000Z","00529000001f2JMAAY","2018-06-20T06:16:17.000Z","Crédito líquido","Inside line","PC00001"
