CURRENCYISOCODE,DWP_DACE__CONDITION_SUMMARY_CALC__C,DWP_DACE__CONDITION_UNIQUE_ID__C,DWP_DACE__FIELD_API_NAME__C,DWP_DACE__FIELD_TYPE__C,DWP_DACE__FIELD_VALUE_1__C,DWP_DACE__GROUP_BEHAVIOUR_TYPE__C,DWP_DACE__OBJECT_API_NAME__C,DWP_DACE__OPERATOR_TYPE__C
PEN,OpportunityLineItems-product_formalization_indicator__c = false,OPP_PRODUCT_FORMALIZATION_FALSE,product_formalization_indicator__c,Checkbox,false,,OpportunityLineItems,ID_EQUAL
PEN,Opportunity-Type IN 01,OPP_TYPE_NEW,Type,Picklist,01,,Opportunity,ID_IN
PEN,"User-Profile.Name IN Especialista,Ejecutivo,Administrador del sistema,System Administrator",USER_PROFILE_SPECIALIST_AND_EXECUTIVE,Profile.Name,Text,"Especialista,Ejecutivo,Administrador del sistema,System Administrator",,User,ID_IN
PEN,Opportunity-StageName IN 05,OPP_STAGE_FORMALIZATION,StageName,Picklist,05,,Opportunity,ID_IN
PEN,"User-Profile.Name IN Operativo,Administrador del sistema,System Administrator",USER_PROFILE_OPERATIVE,Profile.Name,Text,"Operativo,Administrador del sistema,System Administrator",,User,ID_IN
PEN,"User-Profile.Name IN Analista,Administrador del sistema,System Administrator",USER_PROFILE_ANALIST,Profile.Name,Text,"Analista,Administrador del sistema,System Administrator",,User,ID_IN
PEN,"Opportunity-StageName IN 01,02,03",OPP_STAGE_PENDING_NEGOTIATION,StageName,Picklist,"01,02,03",,Opportunity,ID_IN
PEN,OpportunityLineItems-product_price_approval_method__c IN Web,OPP_PRODUCT_QUOTE_TYPE_WEB,product_price_approval_method__c,Text,Web,,OpportunityLineItems,ID_IN
PEN,OpportunityLineItems-product_pdf_indicator__c = true,OPP_PRODUCT_PDF,product_pdf_indicator__c,Checkbox,true,,OpportunityLineItems,ID_EQUAL
PEN,"Opportunity-opportunity_status_type__c IN 17,18",OPP_STATUS_RISK_APPROVED_OR_APPROVED_DIRECTLY,opportunity_status_type__c,Picklist,"17,18",,Opportunity,ID_IN
PEN,Opportunity-Risk_modality_type__c IN 02,OPP_RISK_MODALITY,Risk_modality_type__c,Picklist,02,,Opportunity,ID_IN
PEN,"User-Profile.Name IN Ejecutivo,Administrador del sistema,System Administrator",USER_PROFILE_EXECUTIVE,Profile.Name,Text,"Ejecutivo,Administrador del sistema,System Administrator",,User,ID_IN
PEN,"User-Profile.Name IN Especialista,Administrador del sistema,System Administrator",USER_PROFILE_SPECIALIST,Profile.Name,Text,"Especialista,Administrador del sistema,System Administrator",,User,ID_IN
PEN,"Opportunity-opportunity_status_type__c IN 13,16",OPP_STATUS_PRICE_RISK_DENIED,opportunity_status_type__c,Picklist,"13,16",,Opportunity,ID_IN
PEN,Opportunity-opportunity_status_type__c IN 16,OPP_STATUS_RISK_DENIED,opportunity_status_type__c,Picklist,16,,Opportunity,ID_IN
PEN,"Opportunity-opportunity_status_type__c IN 10,15",OPP_STATUS_RISK_AND_PRICE_AUTHORIZED,opportunity_status_type__c,Picklist,"10,15",,Opportunity,ID_IN
PEN,OpportunityLineItems-product_risk_approval_indicator__c = true,OPP_PRODUCT_SR_TRUE,product_risk_approval_indicator__c,Checkbox,true,,OpportunityLineItems,ID_EQUAL
PEN,"Opportunity-opportunity_status_type__c IN 24,12",OPP_STATUS_REEVALUATION_PRICE_RISK,opportunity_status_type__c,Picklist,"24,12",,Opportunity,ID_IN
PEN,"User-Profile.Name IN Ejecutivo,Especialista,System Administrator,Administrador del sistema",USER_PROFILE_EXECUTIVE_SPECIALIST,Profile.Name,Text,"Ejecutivo,Especialista,System Administrator,Administrador del sistema",,User,ID_IN
PEN,OpportunityLineItems-product_price_approval_indicator__c = true,OPP_PRODUCT_SP_TRUE,product_price_approval_indicator__c,Checkbox,true,,OpportunityLineItems,ID_EQUAL
PEN,OpportunityLineItems-price_quote_available__c = false,OPP_PRODUCT_QUOTE_NOT_AVAILABLE,price_quote_available__c,Checkbox,false,,OpportunityLineItems,ID_EQUAL
PEN,Case-RecordType.DeveloperName IN Sanction_Price,CASE_RECORDTYPE_SANCTION_PRICE,RecordType.DeveloperName,Text,Sanction_Price,,Case,ID_IN
