ID,NAME,FPRD__DEFAULT_VALUE__C,FPRD__DEVELOPERNAME__C,FPRD__HEADER__C,FPRD__HEADER_ORDER__C,FPRD__HIDDEN__C,FPRD__IMPORTANT__C,FPRD__LABEL__C,FPRD__LOV_LABELS__C,FPRD__LOV_VALUES__C,FPRD__LOWER_LIMIT__C,FPRD__MANDATORY__C,FPRD__MAP_FIELD__C,FPRD__ORDER__C,FPRD__PRODUCT__C,FPRD__READ_ONLY__C,FPRD__RELATED_MAP_FIELDS__C,FPRD__SECTION_NAME__C,FPRD__SECTION_ORDER__C,FPRD__TYPE__C,FPRD__UPPER_LIMIT__C,FPRD__VALUES_CONTROL_FIELD__C,FPRD__VISIBILITY_CONDITION__C,FPRD__VISIBILITY_CONTROL_FIELD__C,FPRD__VISIBILITY_CONTROL_VALUE__C,FPRD__PRODUCT__R.UNIQUE_ID__C,FPRD__PRODUCT__R.NAME
a0i3B000000pyttQAA,PC-000605,02,PeriodicidadIG_PC00029,false,,false,false,Periodicidad,"Días,Meses","01,02",,false,gipr_Periodicidad__c,3,01t3B00000215lcQAA,false,,Información general del producto,1,LIST,,,,,,292235,Carta Fianza
a0i3B000000pysoQAA,PC-000538,01,tcf_type_beneficiary_PC00029,false,,false,false,Tipo de Beneficiario,"Pública,Privada","01,02",,false,tcf_type_beneficiary__c,7,01t3B00000215lcQAA,false,,Información general del producto,1,LIST,,,,,,292235,Carta Fianza
a0i3B000000pyoeQAA,PC-000280,100,Cobertura_PC00029,false,,false,false,Cobertura (%),,,0,false,gipr_Cobertura__c,11,01t3B00000215lcQAA,false,,Información general del producto,1,number,100,,,Tipo_garantia_PC00029,"Dineraria,No dineraria",292235,Carta Fianza
a0i3B000000pyqSQAQ,PC-000392,,tcf_beneficiary_PC00029,false,,false,false,Beneficiario,,,,false,tcf_beneficiary__c,6,01t3B00000215lcQAA,false,,Información general del producto,1,text,,,,,,292235,Carta Fianza
a0i3B000000pyrsQAA,PC-000480,02,tcf_Legal_VB_text_PC00029,false,,false,false,Texto VB° Legal,"SI,NO","01,02",,false,tcf_Legal_VB_text__c,8,01t3B00000215lcQAA,false,,Información general del producto,1,LIST,,,,,,292235,Carta Fianza
a0i3B000000pyt4QAA,PC-000554,,PlazoIG_PC00029,false,,false,false,Plazo,,,,false,gipr_Plazo__c,2,01t3B00000215lcQAA,false,,Información general del producto,1,number,,,,,,292235,Carta Fianza
a0i3B000000pykHQAQ,PC-000009,01,Periodicity_commission_PC00029,false,,false,false,Periodicidad comisión,"Bimestral,Trismestral,Semestral,Anual","01,02,03,04",,false,tcf_Periodicity_commission__c,1,01t3B00000215lcQAA,false,,Criterios de pago y liquidación,2,LIST,,,,,,292235,Carta Fianza
a0i3B000000pypnQAA,PC-000351,01,Tipo_amortizacion_PC00007,false,,false,false,Tipo amortización,Al vencimiento,1,,false,cpliq_Tipo_amortizacion__c,2,01t3B00000215lGQAQ,true,,Criterios de pago y liquidación,3,LIST,,,,,,161710,Financiamiento de Exportación Pre Embarque
a0i3B000000pypuQAA,PC-000358,02,gipr_Periodicidad_PC00007,false,,false,false,Periodicidad,"Días,Meses","01,02",,false,gipr_Periodicidad__c,6,01t3B00000215lGQAQ,false,,Información general del producto,1,LIST,,,,,,161710,Financiamiento de Exportación Pre Embarque
a0i3B000000pyqrQAA,PC-000417,,da_Merchandise_Detail_PC00007,false,,false,false,Detalle de mercadería,,,,false,da_Merchandise_Detail__c,7,01t3B00000215lGQAQ,false,,Datos adicionales,2,text,,,,,,161710,Financiamiento de Exportación Pre Embarque
